manufacture_style,Code,product_name,大分類,中分類,小分類,Remark
MYY43FE/A,13027579,iPhone 16 矽膠殼 梅李 MYY43,Accy,iPhone Case,iPhone 16,1490
MYY73FE/A,13027580,iPhone 16 矽膠殼 楊桃 MYY73,Accy,iPhone Case,iPhone 16,1590
MYY33FE/A,13027581,iPhone 16 矽膠殼 灰石 MYY33,Accy,iPhone Case,iPhone 16,1590
MYY63FE/A,13027582,iPhone 16 矽膠殼 湛藍 MYY63,Accy,iPhone Case,iPhone 16,1490
MYY93FE/A,13027583,iPhone 16+ 矽膠殼 黑色 MYY93,Accy,iPhone Case,iPhone 16+,1490
MYYA3FE/A,13027584,iPhone 16+ 矽膠殼 單寧 MYYA3,Accy,iPhone Case,iPhone 16+,1490
MYYE3FE/A,13027585,iPhone 16+ 矽膠殼 吊鐘 MYYE3,Accy,iPhone Case,iPhone 16+,1490
MYYH3FE/A,13027586,iPhone 16+ 矽膠殼 湖綠 MYYH3,Accy,iPhone Case,iPhone 16+,1490
MYYD3FE/A,13027587,iPhone 16+ 矽膠殼 梅李 MYYD3,Accy,iPhone Case,iPhone 16+,1490
MYYG3FE/A,13027588,iPhone 16+ 矽膠殼 楊桃 MYYG3,Accy,iPhone Case,iPhone 16+,1490
MYYC3FE/A,13027589,iPhone 16+ 矽膠殼 灰石 MYYC3,Accy,iPhone Case,iPhone 16+,1590
MYYF3FE/A,13027590,iPhone 16+ 矽膠殼 湛藍 MYYF3,Accy,iPhone Case,iPhone 16+,1490
MYYJ3FE/A,13027591,iPhone 16P 矽膠殼 黑色 MYYJ3,Accy,iPhone Case,iPhone 16 Pro,1490
MYYK3FE/A,13027592,iPhone 16P 矽膠殼 單寧 MYYK3,Accy,iPhone Case,iPhone 16 Pro,1490
MYYN3FE/A,13027593,iPhone 16P 矽膠殼 吊鐘 MYYN3,Accy,iPhone Case,iPhone 16 Pro,1490
MYYM3FE/A,13027595,iPhone 16P 矽膠殼 梅李 MYYM3,Accy,iPhone Case,iPhone 16 Pro,1490
MYYQ3FE/A,13027596,iPhone 16P 矽膠殼 楊桃 MYYQ3,Accy,iPhone Case,iPhone 16 Pro,1590
MYYL3FE/A,13027597,iPhone 16P 矽膠殼 灰石 MYYL3,Accy,iPhone Case,iPhone 16 Pro,1490
MYYT3FE/A,13027599,iPhone 16PM 矽膠殼 黑色 MYYT3,Accy,iPhone Case,iPhone 16 Pro Max,1490
MYYU3FE/A,13027600,iPhone 16PM 矽膠殼 單寧 MYYU3,Accy,iPhone Case,iPhone 16 Pro Max,1490
MYYX3FE/A,13027601,iPhone 16PM 矽膠殼 吊鐘 MYYX3,Accy,iPhone Case,iPhone 16 Pro Max,1490
MA7V4FE/A,13027602,iPhone 16PM 矽膠殼 湖綠 MA7V4,Accy,iPhone Case,iPhone 16 Pro Max,1590
MYYW3FE/A,13027603,iPhone 16PM 矽膠殼 梅李 MYYW3,Accy,iPhone Case,iPhone 16 Pro Max,1490
MA7U4FE/A,13027604,iPhone 16PM 矽膠殼 楊桃 MA7U4,Accy,iPhone Case,iPhone 16 Pro Max,1490
MYYV3FE/A,13027605,iPhone 16PM 矽膠殼 灰石 MYYV3,Accy,iPhone Case,iPhone 16 Pro Max,1490
MAX94FE/A,13027618,40mm 運動錶帶 黑色 S/M MAX94,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MAXA4FE/A,13027619,40mm 運動錶帶 黑色 M/L MAXA4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MAXC4FE/A,13027620,40mm 運動錶帶 胭脂粉 S/M MAXC4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MAXD4FE/A,13027621,40mm 運動錶帶 胭脂粉 M/L MAXD4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MAXF4FE/A,13027622,40mm 運動錶帶 灰石色 S/M MAXF4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MAXG4FE/A,13027623,40mm 運動錶帶 灰石色 M/L MAXG4,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MXLG3FE/A,13027674,42mm 運動錶帶 石灰色 S/M MXLG3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLH3FE/A,13027675,42mm 運動錶帶 石灰色 M/L MXLH3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLJ3FE/A,13027676,42mm 運動錶帶 黑色 S/M MXLJ3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLK3FE/A,13027677,42mm 運動錶帶 黑色 M/L MXLK3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLL3FE/A,13027678,42mm 運動錶帶 星光色 S/M MXLL3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLM3FE/A,13027679,42mm 運動錶帶 星光色 M/L MXLM3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLN3FE/A,13027680,42mm 運動錶帶 胭脂粉 S/M MXLN3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLP3FE/A,13027681,42mm 運動錶帶 胭脂粉 M/L MXLP3,Accy,*Apple Watch Accy,Band 42mm Sport,1600
MXLX3FE/A,13027688,46mm 運動錶帶 石灰色 S/M MXLX3,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXLY3FE/A,13027689,46mm 運動錶帶 石灰色 M/L MXLY3,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXM23FE/A,13027690,46mm 運動錶帶 黑色 S/M MXM23,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXM43FE/A,13027691,46mm 運動錶帶 黑色 M/L MXM43,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXM53FE/A,13027692,46mm 運動錶帶 黑色 XL MXM53,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXM63FE/A,13027693,46mm 運動錶帶 星光色 S/M MXM63,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXM73FE/A,13027694,46mm 運動錶帶 星光色 M/L MXM73,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXM83FE/A,13027695,46mm 運動錶帶 胭脂粉 S/M MXM83,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXM93FE/A,13027696,46mm 運動錶帶 胭脂粉 M/L MXM93,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MXTL3FE/A,13027714,49mm 原鈦海洋錶帶 黑色 MXTL3,Accy,*Apple Watch Accy,Band 49mm Ocean Band,3100
MYG03FE/A,13027732,46mm 運動錶帶 午夜色 S/M MYG03,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MYG13FE/A,13027733,46mm 運動錶帶 午夜色 M/L MYG13,Accy,*Apple Watch Accy,Band 46mm Sport,1600
MYJ33FE/A,13027736,40mm 運動錶帶 星光色 S/M MYJ33,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MYJ43FE/A,13027737,40mm 運動錶帶 星光色 M/L MYJ43,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MYJ53FE/A,13027738,40mm 運動錶帶 午夜色 S/M MYJ53,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MYJ63FE/A,13027739,40mm 運動錶帶 午夜色 M/L MYJ63,Accy,*Apple Watch Accy,Band 40mm Sport,1600
MYPD3FE/A,13027773,49mm 黑鈦海洋錶帶 黑色 MYPD3,Accy,*Apple Watch Accy,Band 49mm Ocean Band,3100
SNHA2TA/A,13027789,AC+ for iPhone 16 SNHA2,Care,ACPP+,iPhone 16 ACPP+,4890
SNHP2TA/A,13027790,AC+ for iPhone 16 Plus SNHP2,Care,ACPP+,iPhone 16 Plus ACPP+,5790
SNHV2TA/A,13027791,AC+ for iPhone 16 Pro SNHV2,Care,ACPP+,iPhone 16 Pro ACPP+,6390
SNJ22TA/A,13027792,AC+ for iPhone 16 PM SNJ22,Care,ACPP+,iPhone 16 PM ACPP+,6390
SNMF2TA/A,13027793,AC+ for AW S10 Aluminum SNMF2,Care,ACPP+,AW S10 ACPP+,2590
SNMG2TA/A,13027794,AC+ for AW Hermes Ultra SNMG2,Care,ACPP+,AW Hermes Ultra ACPP+,4790
SNMH2TA/A,13027795,AC+ for AW Hermes S10 SNMH2,Care,ACPP+,AW Hermes S10 ACPP+,4790
SNN72TA/A,13027796,AC+ for AW S10 Titanium SNN72,Care,ACPP+,AW S10 鈦金屬 ACPP+,2590
MXP63TA/A,13027950,AirPods 第四代 MXP63,AirPods,AirPods 4,AirPods 第四代,4490
MXP93TA/A,13027951,AirPods 第四代 降噪 MXP93,AirPods,AirPods 4,AirPods 第四代 ANC,5990
MWW43TA/A,13027952,AirPods Max 午夜 MWW43,AirPods,AirPods Max (USB-C),AirPods Max,17990
MWW53TA/A,13027953,AirPods Max 星光 MWW53,AirPods,AirPods Max (USB-C),AirPods Max,17990
MWW63TA/A,13027954,AirPods Max 藍 MWW63,AirPods,AirPods Max (USB-C),AirPods Max,17990
MWW73TA/A,13027955,AirPods Max 橙 MWW73,AirPods,AirPods Max (USB-C),AirPods Max,17990
MWW83TA/A,13027956,AirPods Max 紫 MWW83,AirPods,AirPods Max (USB-C),AirPods Max,17990
2.00E+12,13028008,[i]Care AirPods 4/4降 兩年_990,Care,iCPP,[i]Care AirPods 4/4降 兩年_990,0
SNGN2TA/A,13028066,AC+ for iPad mini A17 P SNGN2,Care,ACPP+,iPad/iPad Mini ACPP+,2190
MXN63TA/A,13028067,iPad mini WF 128G 太空灰 MXN63,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 灰,15900
MXN73TA/A,13028068,iPad mini WF 128G 藍 MXN73,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 藍,15900
MXN83TA/A,13028069,iPad mini WF 128G 星光 MXN83,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 星,15900
MXN93TA/A,13028070,iPad mini WF 128G 紫 MXN93,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 紫,15900
MXNA3TA/A,13028071,iPad mini WF 256G 太空灰 MXNA3,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 灰,19400
MXNC3TA/A,13028072,iPad mini WF 256G 藍 MXNC3,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 藍,19400
MXND3TA/A,13028073,iPad mini WF 256G 星光 MXND3,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 星,19400
MXNE3TA/A,13028074,iPad mini WF 256G 紫 MXNE3,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 紫,19400
MXPN3TA/A,13028075,iPad mini 5G 128G 太空灰 MXPN3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 灰,20900
MXPP3TA/A,13028076,iPad mini 5G 128G 藍 MXPP3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 藍,20900
MXPQ3TA/A,13028077,iPad mini 5G 128G 星光 MXPQ3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 星,20900
MXPR3TA/A,13028078,iPad mini 5G 128G 紫 MXPR3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 紫,20900
MXPT3TA/A,13028079,iPad mini 5G 256G 太空灰 MXPT3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 灰,24400
MXPW3TA/A,13028080,iPad mini 5G 256G 藍 MXPW3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 藍,24400
MXPX3TA/A,13028081,iPad mini 5G 256G 星光 MXPX3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 星,24400
MXPY3TA/A,13028082,iPad mini 5G 256G 紫 MXPY3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 紫,24400
MYGY3TA/A,13028083,iPad mini WF 512G 太空灰 MYGY3,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 灰,26400
MYH13TA/A,13028084,iPad mini WF 512G 藍 MYH13,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 藍,26400
MYH23TA/A,13028085,iPad mini WF 512G 星光 MYH23,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 星,26400
MYH33TA/A,13028086,iPad mini WF 512G 紫 MYH33,iPad,iPad mini(A17 Pro),Wi-Fi  iPad mini 8.3 紫,26400
MYHC3TA/A,13028087,iPad mini 5G 512G 太空灰 MYHC3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 灰,31400
MYHD3TA/A,13028088,iPad mini 5G 512G 藍 MYHD3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 藍,31400
MYHE3TA/A,13028089,iPad mini 5G 512G 星光 MYHE3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 星,31400
MYHF3TA/A,13028090,iPad mini 5G 512G 紫 MYHF3,iPad,iPad mini(A17 Pro),Cellular iPad mini 8.3 紫,31400
MWUC3TA/A,13028133,M4 iMac 24 8核 256 銀 MWUC3,CPU,IMAC,iMac 24 M4 256G,42900
MWUE3TA/A,13028134,M4 iMac 24 8核 256 綠 MWUE3,CPU,IMAC,iMac 24 M4 256G,42900
MWUF3TA/A,13028135,M4 iMac 24 8核 256 藍 MWUF3,CPU,IMAC,iMac 24 M4 256G,42900
MWUG3TA/A,13028136,M4 iMac 24 8核 256 粉 MWUG3,CPU,IMAC,iMac 24 M4 256G,42900
MWUU3TA/A,13028137,M4 iMac 24 10C 16 256 銀 MWUU3,CPU,IMAC,iMac 24 M4 256G,49900
MWUY3TA/A,13028138,M4 iMac 24 10C 16 256 綠 MWUY3,CPU,IMAC,iMac 24 M4 256G,49900
MWV13TA/A,13028139,M4 iMac 24 10C 16 256 藍 MWV13,CPU,IMAC,iMac 24 M4 256G,49900
MWV43TA/A,13028140,M4 iMac 24 10C 16 256 粉 MWV43,CPU,IMAC,iMac 24 M4 256G,49900
MD3H4TA/A,13028141,M4 iMac 24 10 16 256NT銀 MD3H4,CPU,IMAC,iMac 24 M4 256G,56900
MWUV3TA/A,13028142,M4 iMac 24 10C 16 512 銀 MWUV3,CPU,IMAC,iMac 24 M4 512G,56900
MWV03TA/A,13028143,M4 iMac 24 10C 16 512 綠 MWV03,CPU,IMAC,iMac 24 M4 512G,56900
MWV33TA/A,13028144,M4 iMac 24 10C 16 512 藍 MWV33,CPU,IMAC,iMac 24 M4 512G,56900
MWV53TA/A,13028145,M4 iMac 24 10C 16 512 粉 MWV53,CPU,IMAC,iMac 24 M4 512G,56900
MCR24TA/A,13028146,M4 iMac 24 10C 24 512 銀 MCR24,CPU,IMAC,iMac 24 M4 512G,63900
MD2Q4TA/A,13028147,M4 iMac 24 10C 24 512 綠 MD2Q4,CPU,IMAC,iMac 24 M4 512G,63900
MD2T4TA/A,13028148,M4 iMac 24 10C 24 512 藍 MD2T4,CPU,IMAC,iMac 24 M4 512G,63900
MD2U4TA/A,13028149,M4 iMac 24 10C 24 512 粉 MD2U4,CPU,IMAC,iMac 24 M4 512G,63900
MXCK3TA/A,13028150,Magic Keyboard Touch ID MXCK3,Accy,*CPU Accy,Keyboard,4390
MXCL3TA/A,13028151,Magic Keyboard MXCL3,Accy,*CPU Accy,Keyboard,2990
MXK53TA/A,13028152,Magic Mouse 白 MXK53,Accy,*CPU Accy,Mouse,2290
MXK63TA/A,13028153,Magic Mouse 黑 MXK63,Accy,*CPU Accy,Mouse,2990
MXK73TA/A,13028154,Magic Keyboard 數 ID 白 MXK73,Accy,*CPU Accy,Keyboard 2,5290
MXK83TA/A,13028155,Magic Keyboard 數 ID 黑 MXK83,Accy,*CPU Accy,Keyboard 2,5890
MXK93TA/A,13028156,Magic Trackpad 白 MXK93,Accy,*CPU Accy,Trackpad,3790
MXKA3TA/A,13028157,Magic Trackpad 黑 MXKA3,Accy,*CPU Accy,Trackpad,4390
SR1A2TA/A,13028158,AC+ for iMac M4 SR1A2,Care,ACPP+,iMac ACPP+,5290
MU9D3TA/A,13028159,M4 Mac mini 10核 16 256 MU9D3,CPU,MAC MINI,Mac mini M4 256G,19900
MU9E3TA/A,13028160,M4 Mac mini 10核 16 512 MU9E3,CPU,MAC MINI,Mac mini M4 512G,26900
MCYT4TA/A,13028161,M4 Mac mini 10核 24 512 MCYT4,CPU,MAC MINI,Mac mini M4 512G,33900
MCX44TA/A,13028162,M4P Mac mini 16核 24 512 MCX44,CPU,MAC MINI,Mac mini M4 512G,46900
MC9C4FE/A,13028163,Thunderbolt 5 Pro 1m MC9C4,Accy,*CPU Accy,Thunderbolt,2190
SR1C2TA/A,13028164,AC+ for Mac mini M4 SR1C2,Care,ACPP+,Mac mini ACPP+,2990
MX2E3TA/A,13028191,M4P MBP 14 512GB 銀 MX2E3,CPU,MBP 14 M4 Pro&Max,MacBook Pro M4Pro 24G 512G 銀,67900
MX2H3TA/A,13028192,M4P MBP 14 512GB 黑 MX2H3,CPU,MBP 14 M4 Pro&Max,MacBook Pro M4Pro 24G 512G 黑,67900
MX2J3TA/A,13028193,M4P MBP 14 1TB 黑 MX2J3,CPU,MBP 14 M4 Pro&Max,MacBook Pro M4Pro 24G 1TB 黑,81900
MX2F3TA/A,13028194,M4P MBP 14 1TB 銀 MX2F3,CPU,MBP 14 M4 Pro&Max,MacBook Pro M4Pro 24G 1TB 銀,81900
MX2G3TA/A,13028195,M4M MBP 14 1TB 銀 MX2G3,CPU,MBP 14 M4 Pro&Max,MacBook Pro M4Max 36G 1TB 銀,109900
MX2K3TA/A,13028196,M4M MBP 14 1TB 黑 MX2K3,CPU,MBP 14 M4 Pro&Max,MacBook Pro M4Max 36G 1TB 黑,109900
MX2T3TA/A,13028197,M4P MBP 16 24G 512G 銀 MX2T3,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Pro 24G 512G 銀,84900
MX2U3TA/A,13028198,M4P MBP 16 48G 512G 銀 MX2U3,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Pro 48G 512G 銀,98900
MX2V3TA/A,13028199,M4M MBP 16 36G 1TB 銀 MX2V3,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Max 36G 1TB 銀,119900
MX2W3TA/A,13028200,M4M MBP 16 48G 1TB 銀 MX2W3,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Max 48G 1TB 銀,134900
MX2X3TA/A,13028201,M4P MBP 16 24G 512 黑 MX2X3,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Pro 24G 512G 黑,84900
MX2Y3TA/A,13028202,M4P MBP 16 48G 512 黑 MX2Y3,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Pro 48G 512G 黑,98900
MX303TA/A,13028203,M4M MBP 16 36G 1T 黑 MX303,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Max 36G 1TB 黑,119900
MX313TA/A,13028204,M4M MBP 16 48G 1T 黑 MX313,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Max 48G 1TB 黑,134900
SR172TA/A,13028205,AC+ for MBP 14 M4 SR172,Care,ACPP+,14 MacBook Pro ACPP+,8990
SR182TA/A,13028206,AC+ for MBP 14 M4P/M4M SR182,Care,ACPP+,14 MacBook Pro ACPP+,8990
SR192TA/A,13028207,AC+ for MBP 16 M4P/M4M SR192,Care,ACPP+,16 MacBook Pro ACPP+,12990
MW613FE/A,13028324,USB-C to MagSafe 3 2m MW613,Accy,#Cable,MagSafe,1490
MX763FE/A,13028325,Apple Pencil 替換筆尖 MX763,Accy,*iPad Accy,Other,590
MWK93FE/A,13028380,iPad Air 13 聰穎雙夾 灰 MWK93,Accy,iPad Case,iPad 10.9,3290
MXCJ3TA/A,13028487,Magic Keyboard 數 MXCJ3,Accy,*CPU Accy,Keyboard 2,3790
MXN43TA/A,13028488,Apple Pencil 2代 MXN43,Accy,*iPad Accy,Apple Pencil 2代,4390
MW6A3TA/A,13028489,AW 磁性充電連接線 1m MW6A3,Accy,#Cable,Apple Watch,990
Z1FS000W1,13028491,M4M MBP 16 128G 8T 銀 Z1FS,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Max 16G 8TB 銀,251900
Z1FW001VR,13028492,M4M MBP 16 128G 8T 黑 Z1FW,CPU,MBP 16 M4 Pro&Max,MacBook Pro M4Max 16G 8TB 黑,251900
MD3N4FE/A,13028499,iPhone 16e 矽膠殼 黑 MD3N4,Accy,iPhone Case,iPhone 16e,1290
MD3P4FE/A,13028500,iPhone 16e 矽膠殼 白 MD3P4,Accy,iPhone Case,iPhone 16e,1290
MD3Q4FE/A,13028501,iPhone 16e 矽膠殼 冬藍 MD3Q4,Accy,iPhone Case,iPhone 16e,1290
MD3W4FE/A,13028502,iPhone 16e 矽膠殼 吊鐘花 MD3W4,Accy,iPhone Case,iPhone 16e,1290
MD3X4FE/A,13028503,iPhone 16e 矽膠殼 湖綠 MD3X4,Accy,iPhone Case,iPhone 16e,1290
MD1Q4ZP/A,13028504,iPhone 16e 128GB 黑 MD1Q4,iPhone,iPhone 16e,iPhone 16e 黑,21900
MD1R4ZP/A,13028505,iPhone 16e 128GB 白 MD1R4,iPhone,iPhone 16e,iPhone 16e 白,21900
MD1T4ZP/A,13028506,iPhone 16e 256GB 黑 MD1T4,iPhone,iPhone 16e,iPhone 16e 黑,25400
MD1W4ZP/A,13028507,iPhone 16e 256GB 白 MD1W4,iPhone,iPhone 16e,iPhone 16e 白,25400
MD1X4ZP/A,13028508,iPhone 16e 512GB 黑 MD1X4,iPhone,iPhone 16e,iPhone 16e 黑,32400
MD274ZP/A,13028509,iPhone 16e 512GB 白 MD274,iPhone,iPhone 16e,iPhone 16e 白,32400
ST3V2TA/A,13028510,AC+ for iPhone 16e ST3V2,Care,ACPP+,iPhone 16e ACPP+,3890
MD3Y4TA/A,13028574,iPad 11 WiFi 128 銀 MD3Y4,iPad,iPad(A16),WiFi iPad 11 銀,10900
MD4A4TA/A,13028575,iPad 11 WiFi 128 藍 MD4A4,iPad,iPad(A16),WiFi iPad 11 藍,10900
MD4D4TA/A,13028576,iPad 11 WiFi 128 黃 MD4D4,iPad,iPad(A16),WiFi iPad 11 黃,10900
MD4E4TA/A,13028577,iPad 11 WiFi 128 粉 MD4E4,iPad,iPad(A16),WiFi iPad 11 粉,10900
MD4G4TA/A,13028578,iPad 11 WiFi 256 銀 MD4G4,iPad,iPad(A16),WiFi iPad 11 銀,14400
MD4H4TA/A,13028579,iPad 11 WiFi 256 藍 MD4H4,iPad,iPad(A16),WiFi iPad 11 藍,14400
MD4J4TA/A,13028580,iPad 11 WiFi 256 黃 MD4J4,iPad,iPad(A16),WiFi iPad 11 黃,14400
MD4P4TA/A,13028581,iPad 11 WiFi 256 粉 MD4P4,iPad,iPad(A16),WiFi iPad 11 粉,14400
MD4Q4TA/A,13028582,iPad 11 WiFi 512 銀 MD4Q4,iPad,iPad(A16),WiFi iPad 11 銀,21400
MD4Y4TA/A,13028583,iPad 11 WiFi 512 藍 MD4Y4,iPad,iPad(A16),WiFi iPad 11 藍,21400
MD5A4TA/A,13028584,iPad 11 WiFi 512 黃 MD5A4,iPad,iPad(A16),WiFi iPad 11 黃,21400
MD5C4TA/A,13028585,iPad 11 WiFi 512 粉 MD5C4,iPad,iPad(A16),WiFi iPad 11 粉,21400
MD7F4TA/A,13028586,iPad 11 CL 128GB 銀 MD7F4,iPad,iPad(A16),Cellular iPad 11 銀,15900
MD7G4TA/A,13028587,iPad 11 CL 128GB 藍 MD7G4,iPad,iPad(A16),Cellular iPad 11 藍,15900
MD7H4TA/A,13028588,iPad 11 CL 128GB 黃 MD7H4,iPad,iPad(A16),Cellular iPad 11 黃,15900
MD7J4TA/A,13028589,iPad 11 CL 128GB 粉 MD7J4,iPad,iPad(A16),Cellular iPad 11 粉,15900
MD7K4TA/A,13028590,iPad 11 CL 256GB 銀 MD7K4,iPad,iPad(A16),Cellular iPad 11 銀,19400
MD7L4TA/A,13028591,iPad 11 CL 256GB 藍 MD7L4,iPad,iPad(A16),Cellular iPad 11 藍,19400
MD7M4TA/A,13028592,iPad 11 CL 256GB 黃 MD7M4,iPad,iPad(A16),Cellular iPad 11 黃,19400
MD7N4TA/A,13028593,iPad 11 CL 256GB 粉 MD7N4,iPad,iPad(A16),Cellular iPad 11 粉,19400
MD7P4TA/A,13028594,iPad 11 CL 512GB 銀 MD7P4,iPad,iPad(A16),Cellular iPad 11 銀,26400
MD7Q4TA/A,13028595,iPad 11 CL 512GB 藍 MD7Q4,iPad,iPad(A16),Cellular iPad 11 藍,26400
MD7R4TA/A,13028596,iPad 11 CL 512GB 黃 MD7R4,iPad,iPad(A16),Cellular iPad 11 黃,26400
MD7T4TA/A,13028597,iPad 11 CL 512GB 粉 MD7T4,iPad,iPad(A16),Cellular iPad 11 粉,26400
MC9W4TA/A,13028598,iPad Air 11 WF 128 灰 MC9W4,iPad,iPad Air 11in M3,WiFi iPad Air 11 灰,19900
MC9X4TA/A,13028599,iPad Air 11 WF 128 藍 MC9X4,iPad,iPad Air 11in M3,WiFi iPad Air 11 藍,19900
MC9Y4TA/A,13028600,iPad Air 11 WF 128 星 MC9Y4,iPad,iPad Air 11in M3,WiFi iPad Air 11 星,19900
MCA04TA/A,13028601,iPad Air 11 WF 128 紫 MCA04,iPad,iPad Air 11in M3,WiFi iPad Air 11 紫,19900
MCA14TA/A,13028602,iPad Air 11 WF 256 灰 MCA14,iPad,iPad Air 11in M3,WiFi iPad Air 11 灰,23400
MCA34TA/A,13028603,iPad Air 11 WF 256 藍 MCA34,iPad,iPad Air 11in M3,WiFi iPad Air 11 藍,23400
MCA44TA/A,13028604,iPad Air 11 WF 256 星 MCA44,iPad,iPad Air 11in M3,WiFi iPad Air 11 星,23400
MCA64TA/A,13028605,iPad Air 11 WF 256 紫 MCA64,iPad,iPad Air 11in M3,WiFi iPad Air 11 紫,23400
MCA74TA/A,13028606,iPad Air 11 WF 512 灰 MCA74,iPad,iPad Air 11in M3,WiFi iPad Air 11 灰,30400
MCA94TA/A,13028607,iPad Air 11 WF 512 藍 MCA94,iPad,iPad Air 11in M3,WiFi iPad Air 11 藍,30400
MCAA4TA/A,13028608,iPad Air 11 WF 512 星 MCAA4,iPad,iPad Air 11in M3,WiFi iPad Air 11 星,30400
MCAE4TA/A,13028609,iPad Air 11 WF 512 紫 MCAE4,iPad,iPad Air 11in M3,WiFi iPad Air 11 紫,30400
MCAH4TA/A,13028610,iPad Air 11 WF 1TB 灰 MCAH4,iPad,iPad Air 11in M3,WiFi iPad Air 11 灰,37400
MCAJ4TA/A,13028611,iPad Air 11 WF 1TB 藍 MCAJ4,iPad,iPad Air 11in M3,WiFi iPad Air 11 藍,37400
MCAQ4TA/A,13028612,iPad Air 11 WF 1TB 星 MCAQ4,iPad,iPad Air 11in M3,WiFi iPad Air 11 星,37400
MCAU4TA/A,13028613,iPad Air 11 WF 1TB 紫 MCAU4,iPad,iPad Air 11in M3,WiFi iPad Air 11 紫,37400
MCFV4TA/A,13028614,iPad Air 11 CL 128 灰 MCFV4,iPad,iPad Air 11in M3,Cellular iPad Air 11 灰,24900
MCFW4TA/A,13028615,iPad Air 11 CL 128 藍 MCFW4,iPad,iPad Air 11in M3,Cellular iPad Air 11 藍,24900
MCFX4TA/A,13028616,iPad Air 11 CL 128 星 MCFX4,iPad,iPad Air 11in M3,Cellular iPad Air 11 星,24900
MCFY4TA/A,13028617,iPad Air 11 CL 128 紫 MCFY4,iPad,iPad Air 11in M3,Cellular iPad Air 11 紫,24900
MCG04TA/A,13028618,iPad Air 11 CL 256 灰 MCG04,iPad,iPad Air 11in M3,Cellular iPad Air 11 灰,28400
MCG14TA/A,13028619,iPad Air 11 CL 256 藍 MCG14,iPad,iPad Air 11in M3,Cellular iPad Air 11 藍,28400
MCG24TA/A,13028620,iPad Air 11 CL 256 星 MCG24,iPad,iPad Air 11in M3,Cellular iPad Air 11 星,28400
